Server_Name,ILO_Name,ILO_User,ILO_DEF_PASS,ILO_MAC,ILO_IPv4,ILO_IPv4_GW,ILO_IPv4_Network,ILO_IPv4_NM,ILO_IPv6,ILO_IPv6_GW,eno1_IPv4,eno1_IPv4_GW,eno1_IPv4_Network,eno1_IPv4_NM,eno1_IPv6,eno1_IPv6_GW,eno1_IPv6_NM,SerialNumber,log_target,image_server
NCE-DFCI-23,,Administrator,,,98.8.96.118, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.164,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::4,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn1,98.7.128.162,10.177.250.84
NCE-DFCI-24,,Administrator,,,98.8.96.119, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.165,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::5,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn2,98.7.128.162,10.177.250.84
NCE-DFCI-25,,Administrator,,,98.8.96.120, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.166,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::6,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn3,98.7.128.162,10.177.250.84
NCE-DFCI-26,,Administrator,,,98.8.96.121, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.167,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::7,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn4,98.7.128.162,10.177.250.84
NCE-DFCI-27,,Administrator,,,98.8.96.122, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.168,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::8,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn5,98.7.128.162,10.177.250.84
NCE-DFCI-28,,Administrator,,,98.8.96.123, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.169,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::9,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn6,98.7.128.162,10.177.250.84
NCE-DFCI-29,,Administrator,,,98.8.96.124, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.170,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::10,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn7,98.7.128.162,10.177.250.84
NCE-DFCI-30,,Administrator,,,98.8.96.125, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.171,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::11,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn8,98.7.128.162,10.177.250.84
NCE-DFCI-31,,Administrator,,,98.8.96.126, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.172,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::12,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn9,98.7.128.162,10.177.250.84
NCE-DFCI-32,,Administrator,,,98.8.96.127, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.173,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::13,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn10,98.7.128.162,10.177.250.84
NCE-DFCI-33,,Administrator,,,98.8.96.128, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.174,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::14,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn11,98.7.128.162,10.177.250.84
NCE-DFCI-34,,Administrator,,,98.8.96.129, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.175,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::15,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn12,98.7.128.162,10.177.250.84
NCE-DFCI-35,,Administrator,,,98.8.96.130, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.176,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::16,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn13,98.7.128.162,10.177.250.84
NCE-DFCI-36,,Administrator,,,98.8.96.131, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.177,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::17,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn14,98.7.128.162,10.177.250.84
NCE-DFCI-37,,Administrator,,,98.8.96.132, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.178,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::18,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn15,98.7.128.162,10.177.250.84
NCE-DFCI-38,,Administrator,,,98.8.96.133, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.179,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::19,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn16,98.7.128.162,10.177.250.84
NCE-DFCI-39,,Administrator,,,98.8.96.134, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.180,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::20,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn17,98.7.128.162,10.177.250.84
NCE-DFCI-40,,Administrator,,,98.8.96.135, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.181,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::21,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn18,98.7.128.162,10.177.250.84
NCE-DFCI-41,,Administrator,,,98.8.96.136, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.182,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::22,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn19,98.7.128.162,10.177.250.84
NCE-DFCI-42,,Administrator,,,98.8.96.137, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.183,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::23,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn20,98.7.128.162,10.177.250.84
NCE-DFCI-43,,Administrator,,,98.8.96.138, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.184,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::24,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn21,98.7.128.162,10.177.250.84
NCE-DFCI-44,,Administrator,,,98.8.96.139, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.185,98.7.128.161, 98.7.128.160/27,255.255.255.224,2600:6c7f:9330:47::25,2600:6c7f:9330:47::1,2600:6c7f:9330:47::/64,sn22,98.7.128.162,10.177.250.84
NCE-DFCI-45,,Administrator,,,98.8.96.140, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.196,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::4,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn23,98.7.128.162,10.177.250.84
NCE-DFCI-46,,Administrator,,,98.8.96.141, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.197,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::5,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn24,98.7.128.162,10.177.250.84
NCE-DFCI-47,,Administrator,,,98.8.96.142, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.198,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::6,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn25,98.7.128.162,10.177.250.84
NCE-DFCI-48,,Administrator,,,98.8.96.143, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.199,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::7,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn26,98.7.128.162,10.177.250.84
NCE-DFCI-49,,Administrator,,,98.8.96.144, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.200,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::8,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn27,98.7.128.162,10.177.250.84
NCE-DFCI-50,,Administrator,,,98.8.96.145, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.201,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::9,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn28,98.7.128.162,10.177.250.84
NCE-DFCI-51,,Administrator,,,98.8.96.146, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.202,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::10,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn29,98.7.128.162,10.177.250.84
NCE-DFCI-52,,Administrator,,,98.8.96.147, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.203,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::11,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn30,98.7.128.162,10.177.250.84
NCE-DFCI-53,,Administrator,,,98.8.96.148, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.204,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::12,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn31,98.7.128.162,10.177.250.84
NCE-DFCI-54,,Administrator,,,98.8.96.149, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.205,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::13,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn32,98.7.128.162,10.177.250.84
NCE-DFCI-55,,Administrator,,,98.8.96.150, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.206,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::14,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn33,98.7.128.162,10.177.250.84
NCE-DFCI-56,,Administrator,,,98.8.96.151, 98.8.96.1,98.8.96.0/22,255.255.252.0,,2600:6c7f:9330:131b::1,98.7.128.207,98.7.128.193,98.7.128.192/27,255.255.255.224,2600:6c7f:9330:801::14,2600:6c7f:9330:801::1,2600:6c7f:9330:801::/64,sn34,98.7.128.162,10.177.250.84
